"","육교명","도로종류","도로노선번호","도로노선명","소재지도로명주소","위도","경도","육교연장","육교높이","허용통행하중","통행제한높이","육교폭","난간높이","조명개수","장애인편의시설설치여부","장애인편의시설종류","장애인편의시설수량","부대시설종류","부대시설수량","육교준공일자","내진설계적용여부","안전등급","사용제한구분","육교보수보강내역","최종안전점검유형","최종안전점검일자","관리기관명","데이터기준일자"
"1","대도보도육교","구도","-","선릉로","서울특별시 강남구 도곡동 109",37.49198,127.054834,26,NA,NA,4.5,4,NA,NA,"Y","점자블록",NA,NA,NA,NA,"N","양호","제한없음",NA,"정기점검","2017-10-31","서울특별시 강남구청","2017-11-16"
"2","양전보도육교","구도","-","개포로","서울특별시 강남구 개포동 183",37.489843,127.069787,17,NA,NA,4.5,3.6,NA,NA,"Y","점자블록",NA,NA,NA,NA,"N","양호","제한없음",NA,"정기점검","2017-10-31","서울특별시 강남구청","2017-11-16"
"3","구룡보도육교","구도","-","개포로","서울특별시 강남구 개포동 655",37.480375,127.052442,18,NA,NA,4.8,4,NA,NA,"Y","점자블록",NA,NA,NA,NA,"N","보통","제한없음",NA,"정기점검","2017-10-31","서울특별시 강남구청","2017-11-16"
"4","구름다리보도육교","시도","-","양재대로","서울특별시 강남구 개포동 1055",37.47196,127.052272,41,NA,NA,4.5,4.3,NA,NA,"Y","점자블록",NA,NA,NA,NA,"N","보통","제한없음",NA,"정기점검","2017-10-31","서울특별시 강남구청","2017-11-16"
"5","개포대우보도육교","시도","-","언주로","서울특별시 강남구 개포동 655",37.480336,127.052387,33,NA,NA,4.5,4,NA,NA,"Y","점자블록",NA,NA,NA,NA,"N","보통","제한없음",NA,"정기점검","2017-10-31","서울특별시 강남구청","2017-11-16"
"6","일원보도육교","시도","-","양재대로","서울특별시 강남구 일원동 687-1",37.488904,127.082097,45,NA,NA,4.5,3,NA,NA,"Y","점자블록",NA,NA,NA,NA,"N","보통","제한없음",NA,"정기점검","2017-10-31","서울특별시 강남구청","2017-11-16"
"7","양재보도육교","시도","-","양재대로","서울특별시 강남구 수서동 732-1",37.492063,127.095982,77,NA,NA,6.5,4,NA,NA,"Y","점자블록",NA,NA,NA,NA,"N","보통","제한없음",NA,"정기점검","2017-10-31","서울특별시 강남구청","2017-11-16"
"8","양재천보도육교","구도","-","양재천로","서울특별시 강남구 도곡동 467",37.487076,127.053916,39,NA,NA,4.6,2.8,NA,NA,"Y","점자블록",NA,NA,NA,NA,"N","보통","제한없음",NA,"정기점검","2017-10-31","서울특별시 강남구청","2017-11-16"
"9","말죽거리보도육교","시도","-","남부순환로","서울특별시 강남구 도곡동 916-2",37.485049,127.037538,35,NA,NA,4.5,4,NA,NA,"Y","점자블록",NA,NA,NA,NA,"N","보통","제한없음",NA,"정기점검","2017-10-31","서울특별시 강남구청","2017-11-16"
"10","일원탄천보도육교","시도","-","남부순환로","서울특별시 강남구 일원동 474-1",37.496697,127.088375,88,NA,NA,5.5,5.8,NA,NA,"Y","점자블록",NA,NA,NA,NA,"N","보통","제한없음",NA,"정기점검","2017-10-31","서울특별시 강남구청","2017-11-16"
"11","가곡초교입구 보도육교","시도","131번","강서로","서울특별시 강서구 강서로337",37.555691,126.834809,24.5,NA,NA,5,4,NA,NA,"Y","엘리베이터",NA,NA,NA,"2008-06-01",NA,"양호","제한없음",NA,"정기점검","2017-10-23","서울특별시 강서구청","2017-11-21"
"12","수명산파크 보도육교","시도","없음","수명로","서울특별시 강서구 수명로1길 110",37.552947,126.823952,25.9,NA,NA,4.5,4,NA,NA,"Y","경사로",NA,NA,NA,"2005-08-01",NA,"양호","제한없음",NA,"정기점검","2017-06-30","서울특별시 강서구청","2017-11-21"
"13","스카이파크 보도육교","시도","134번","개화동로","서울특별시 강서구 개화동로 561",37.563099,126.804551,53.6,NA,NA,4.7,4.5,NA,NA,"Y","엘리베이터",NA,NA,NA,"2011-11-01",NA,"양호","제한없음",NA,"정기점검","2017-06-30","서울특별시 강서구청","2017-11-21"
"14","증미역연결 보도육교","기타","133번","양천로","서울특별시 양천로 551-24",37.558816,126.859993,40,NA,NA,0,4,NA,NA,"Y","경사로",NA,NA,NA,"2010-12-07",NA,"양호","제한없음",NA,"정기점검","2017-06-30","서울특별시 강서구청","2017-11-21"
"15","은천초교 앞","시도",NA,"은천로","서울특별시 관악구 은천로 66",37.486239,126.942719,18,NA,NA,4.5,4,NA,NA,"N","없음",NA,NA,NA,"1997-07-24","N","보통","제한없음","육교 도색","정기점검","2017-10-16","서울특별시 관악구청","2017-11-24"
"16","사당초교 앞","시도",NA,"관악로","서울특별시 관악구 남부순환로 2030",37.476187,126.974149,33,NA,NA,4.5,4,NA,NA,"N","없음",NA,NA,NA,"1984-01-21","N","보통","제한없음","육교 도색","정기점검","2017-10-16","서울특별시 관악구청","2017-11-24"
