"육교명",도로종류,도로노선번호,도로노선명,소재지도로명주소,위도,경도,육교연장,육교높이,허용통행하중,통행제한높이,육교폭,난간높이,조명개수,장애인편의시설설치여부,장애인편의시설종류,장애인편의시설수량,부대시설종류,부대시설수량,육교준공일자,내진설계적용여부,안전등급,사용제한구분,육교보수보강내역,최종안전점검유형,최종안전점검일자,관리기관명,데이터기준일자
"대도보도육교",구도,-,선릉로,서울특별시 강남구 도곡동 109,37.491980,127.054834,26,,,4.5,4,,,Y,점자블록,,,,,N,양호,제한없음,,정기점검,2017-10-31,서울특별시 강남구청,2017-11-16
"양전보도육교",구도,-,개포로,서울특별시 강남구 개포동 183,37.489843,127.069787,17,,,4.5,3.6,,,Y,점자블록,,,,,N,양호,제한없음,,정기점검,2017-10-31,서울특별시 강남구청,2017-11-16
"구룡보도육교",구도,-,개포로,서울특별시 강남구 개포동 655,37.480375,127.052442,18,,,4.8,4,,,Y,점자블록,,,,,N,보통,제한없음,,정기점검,2017-10-31,서울특별시 강남구청,2017-11-16
"구름다리보도육교",시도,-,양재대로,서울특별시 강남구 개포동 1055,37.471960,127.052272,41,,,4.5,4.3,,,Y,점자블록,,,,,N,보통,제한없음,,정기점검,2017-10-31,서울특별시 강남구청,2017-11-16
"개포대우보도육교",시도,-,언주로,서울특별시 강남구 개포동 655,37.480336,127.052387,33,,,4.5,4,,,Y,점자블록,,,,,N,보통,제한없음,,정기점검,2017-10-31,서울특별시 강남구청,2017-11-16
"일원보도육교",시도,-,양재대로,서울특별시 강남구 일원동 687-1,37.488904,127.082097,45,,,4.5,3,,,Y,점자블록,,,,,N,보통,제한없음,,정기점검,2017-10-31,서울특별시 강남구청,2017-11-16
"양재보도육교",시도,-,양재대로,서울특별시 강남구 수서동 732-1,37.492063,127.095982,77,,,6.5,4,,,Y,점자블록,,,,,N,보통,제한없음,,정기점검,2017-10-31,서울특별시 강남구청,2017-11-16
"양재천보도육교",구도,-,양재천로,서울특별시 강남구 도곡동 467,37.487076,127.053916,39,,,4.6,2.8,,,Y,점자블록,,,,,N,보통,제한없음,,정기점검,2017-10-31,서울특별시 강남구청,2017-11-16
"말죽거리보도육교",시도,-,남부순환로,서울특별시 강남구 도곡동 916-2,37.485049,127.037538,35,,,4.5,4,,,Y,점자블록,,,,,N,보통,제한없음,,정기점검,2017-10-31,서울특별시 강남구청,2017-11-16
"일원탄천보도육교",시도,-,남부순환로,서울특별시 강남구 일원동 474-1,37.496697,127.088375,88,,,5.5,5.8,,,Y,점자블록,,,,,N,보통,제한없음,,정기점검,2017-10-31,서울특별시 강남구청,2017-11-16
