"육교명",도로종류,도로노선번호,도로노선명,소재지도로명주소,위도,경도,육교연장,육교높이,허용통행하중,통행제한높이,육교폭,난간높이,조명개수,장애인편의시설설치여부,장애인편의시설종류,장애인편의시설수량,부대시설종류,부대시설수량,육교준공일자,내진설계적용여부,안전등급,사용제한구분,육교보수보강내역,최종안전점검유형,최종안전점검일자,관리기관명,데이터기준일자
"능골",시도,49,국회대로,서울특별시 양천구 지양로16길 15,37.525091,126.832696,81,6,,4.5,4,1.2,4,N,점자블록,1,없음,0,1992-07-01,N,양호,제한없음,없음,정기점검,2017-09-15,서울특별시 양천구청,2017-11-01
"신당",시도,49,국회대로,서울특별시 양천구 국회대로 28,37.525891,126.837752,53,6,,4.5,4,1.2,10,N,점자블록,1,없음,0,1992-07-01,N,보통,제한없음,없음,정기점검,2017-09-15,서울특별시 양천구청,2017-11-01
"당모래",시도,49,국회대로,서울특별시 양천구 국회대로 90,37.527292,126.844742,53,6,,4.5,4,1.2,10,N,점자블록,1,없음,0,1992-07-01,N,보통,제한없음,도장보수,정기점검,2017-09-15,서울특별시 양천구청,2017-11-01
"은빛",시도,49,국회대로,서울특별시 양천구 국회대로 170,37.528410,126.853616,53,6,,4.5,4,1.2,10,N,점자블록,1,없음,0,1992-07-01,N,보통,제한없음,도장보수,정기점검,2017-09-15,서울특별시 양천구청,2017-11-01
"소망",시도,49,국회대로,서울특별시 양천구 국회대로 210,37.528975,126.858466,59,6,,4.5,5,1.2,10,N,점자블록,1,없음,0,1992-07-01,N,보통,제한없음,도장보수,정기점검,2017-09-15,서울특별시 양천구청,2017-11-01
"잣절",시도,42,남부순환로,서울특별시 양천구 남부순환로 699,37.506698,126.844273,40,6,,4.3,3,1.2,6,N,점자블록,1,없음,0,1977-12-01,N,보통,제한없음,도장보수,정기점검,2017-09-15,서울특별시 양천구청,2017-11-01
"신정기지",구도,0,목동남로,서울특별시 양천구 목동남로 85,37.511661,126.868151,185,6,,4.5,4,1.2,12,N,점자블록,1,없음,0,1993-09-01,N,보통,제한없음,논슬립보수,정기점검,2017-09-15,서울특별시 양천구청,2017-11-01
"오금",구도,0,목동남로,서울특별시 양천구 목동로3길 41,37.510918,126.867962,23,6,,4.7,4,1.2,6,N,점자블록,1,없음,0,1998-06-01,N,보통,제한없음,도장보수,정기점검,2017-09-15,서울특별시 양천구청,2017-11-01
"신월IC",시도,42,남부순환로,서울특별시 양천구 남부순환로,37.525423,126.834818,85,6,,4.2,3.5,1.2,4,N,점자블록,1,없음,0,2011-11-04,N,양호,제한없음,없음,정기점검,2017-09-15,서울특별시 양천구청,2017-11-01
"금옥여고앞",시도,4215,신정로,서울특별시 양천구 신정로 213,37.509669,126.844476,33,6,,4.7,5.5,1.2,6,Y,점자블록,1,엘리베이터,1,2001-12-01,N,양호,제한없음,바닥면(탄성포장)보수,정기점검,2017-09-15,서울특별시 양천구청,2017-11-01
"목동운동장앞",시도,5105,안양천로,서울특별시 양천구 목동동로 298,37.528551,126.880142,40,6,,4.5,4.6,1.3,3,Y,"점자블록, 경사로",2,없음,0,2006-06-01,N,양호,제한없음,바닥면(탄성포장)보수,정기점검,2017-09-15,서울특별시 양천구청,2017-11-01
"신정교앞",시도,5105,안양천로,서울특별시 양천구 신목로 5,37.517383,126.876880,80,6,,4.5,3.4,1.3,4,Y,"점자블록, 경사로",2,없음,0,2008-06-01,N,양호,제한없음,바닥면(데크)보수,정기점검,2017-09-15,서울특별시 양천구청,2017-11-01
"이대목동병원",시도,5105,안양천로,서울특별시 양천구 안양천로 1071,37.537594,126.886660,40,6,,4.5,4.6,1.3,3,Y,"점자블록, 경사로",2,없음,0,2009-02-01,N,양호,제한없음,바닥면(탄성포장)보수,정기점검,2017-09-15,서울특별시 양천구청,2017-11-01
"신은",시도,4214,신월로,서울특별시 양천구 신정이펜2로 55,37.514507,126.831186,228,6,,4.5,4.3,1.3,4,Y,"점자블록, 경사로",2,없음,0,2002-06-26,N,양호,제한없음,바닥면(데크)보수,정기점검,2017-09-15,서울특별시 양천구청,2017-11-01
"칼산",구도,0,목동남로,서울특별시 양천구 목동남로4길 2,37.508612,126.864206,26,6,,4.5,4,1.2,6,N,점자블록,1,없음,0,1994-01-01,N,보통,제한없음,도장보수,정기점검,2017-09-15,서울특별시 양천구청,2017-11-01
"양원",시도,4207,화곡로,서울특별시 양천구 화곡로 16,37.539186,126.823479,27,6,,4.5,4,1.2,8,N,점자블록,1,없음,0,1994-07-01,N,보통,제한없음,도장보수,정기점검,2017-09-15,서울특별시 양천구청,2017-11-01
